Number,Incident.Type,Creation.Date,Latitude,Longitude,Total.population,One.race.1,White,Black.or.African.American,American.Indian.and.Alaska.Native,Asian,Hispanic.or.Latino..of.any.race.,Median.household.income..dollars.,groupedtype,newBorough
40,Fire-2nd Alarm,41994.6287,40.68373364,-73.90805738,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
41,Fire-10-77 (Residential High Rise Fire),41994.40381,40.82320279,-73.9388416,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
42,Fire-Sensitive Location,41993.64346,40.82749824,-73.94697202,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
43,Fire-10-76 (Commercial High Rise Fire),41993.44852,40.75298543,-73.97918825,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
44,Fire-1st Alarm,41992.37348,40.72877137,-73.97542386,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
45,Fire-1st Alarm,41992.71063,40.6998067,-73.81471334,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
46,Fire-3rd Alarm,41991.543,40.71760654,-73.99732139,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
47,Law Enforcement-Other,41989.55505,40.58660819,-73.98537048,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
48,Fire-2nd Alarm,41987.03884,40.76652394,-73.97132383,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
49,Fire-3rd Alarm,41986.91988,40.77799181,-73.95421458,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
50,Fire-5th Alarm,41985.11431,40.74304563,-73.91929684,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
51,Fire-2nd Alarm,41986.49983,40.68882293,-73.81869186,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
52,Fire-1st Alarm,41986.01685,40.63652581,-73.95162386,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
53,Law Enforcement-Other,41985.49291,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
54,Fire-2nd Alarm,41985.2698,40.68817133,-73.80042388,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
55,Fire-1st Alarm,41983.35122,40.59426466,-74.06283637,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
56,Fire-2nd Alarm,41983.11995,40.82581965,-73.85203618,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
57,Fire-Sensitive Location,41982.76939,40.75808419,-73.98768987,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
58,Fire-2nd Alarm,41981.87465,40.76897096,-73.96954633,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
59,Fire-3rd Alarm,41981.70439,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
60,Fire-2nd Alarm,41980.74297,40.86752955,-73.86154026,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
61,Fire-2nd Alarm,41980.97109,40.68894475,-73.90859377,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
62,Fire-2nd Alarm,41980.59692,40.62967812,-73.93486881,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
63,Fire-1st Alarm,41979.56848,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
64,Law Enforcement-Suspicious Package,41979.41681,40.7573012,-73.96367804,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
65,Fire-3rd Alarm,41976.67436,40.86637661,-73.89389472,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
66,Fire-2nd Alarm,41977.49985,NA,NA,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
67,Fire-Collapse,41971.5148,40.81685877,-73.94747137,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
68,Fire-2nd Alarm,41977.51936,40.76331921,-73.97366341,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
69,Fire-3rd Alarm,41971.03203,40.58758263,-73.94653352,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
70,Fire-2nd Alarm,41976.35196,40.59523313,-74.06517875,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
71,Fire-1st Alarm,41976.23175,40.68209963,-73.74988332,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
72,Fire-2nd Alarm,41976.13157,40.85134895,-73.93316161,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
73,Fire-2nd Alarm,41969.2699,40.75934419,-73.97128287,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
74,Fire-2nd Alarm,41972.63563,40.63014317,-73.94161587,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
75,Fire-4th Alarm,41962.59888,40.87435868,-73.8762171,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
76,Fire-Haz Mat,41967.76683,40.7918279,-73.97397613,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
77,Medical-EMS MCI (Multiple Casualty Incident),41968.80373,40.715622,-73.994283,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Med,BROOKLYN
78,Fire-2nd Alarm,41968.60322,40.6292163,-73.94384278,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
79,Fire-10-76 (Commercial High Rise Fire),41967.54965,40.75218821,-73.98367039,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
80,Fire-2nd Alarm,41965.92479,40.81932418,-73.88386755,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
81,Fire-3rd Alarm,41964.09071,40.51070939,-74.23995856,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
82,Fire-2nd Alarm,41964.72815,40.61655733,-74.08956182,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
83,Fire-Other,41963.52568,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
84,Fire-Other,41963.32035,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
85,Fire-Other,41963.31431,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
86,Fire-Other,41963.31741,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
87,Law Enforcement-Suspicious Package,41962.72296,40.75054619,-73.96981935,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
88,Fire-Manhole,41961.76372,40.72670563,-73.99573397,"8,622,698","8,329,402","3,635,789","2,094,132","35,124","1,252,589","2,517,429","60,879",Fir,NEW YORK CITY
89,Law Enforcement-Device,41961.39333,40.82308763,-73.87005751,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Law,BRONX
90,Fire-2nd Alarm,41960.58905,40.88546931,-73.90163708,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
91,Law Enforcement-Other,41960.63531,40.7857644,-73.94606648,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
92,Fire-Explosion,41958.40859,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
93,Law Enforcement-Suspicious Package,41957.38515,40.65146825,-73.78624344,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Law,QUEENS
94,Fire-10-76 (Commercial High Rise Fire),41956.67485,40.73743684,-73.99120219,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
95,Fire-2nd Alarm,41955.95965,40.70785871,-73.76863757,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
96,Fire-3rd Alarm,41955.56208,40.86871066,-73.86338621,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
97,Law Enforcement-Suspicious Package,41953.83231,40.76141381,-73.97437458,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
98,Fire-Hospital,41952.76418,40.84166675,-73.94127195,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
99,Fire-2nd Alarm,41951.45898,40.89522832,-73.85503223,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Fir,BRONX
100,Law Enforcement-Suspicious Package,41949.63183,40.74429834,-73.91196234,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Law,QUEENS
101,Fire-2nd Alarm,41950.51615,40.7257793,-73.94601234,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
102,Fire-2nd Alarm,41950.23616,40.67969191,-73.88645267,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
103,Law Enforcement-Other,41940.69159,40.75757832,-73.87404425,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Law,QUEENS
104,Law Enforcement-Suspicious Package,41947.75238,40.78148373,-73.97852077,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
105,Law Enforcement-Suspicious Package,41946.79826,40.63582888,-74.03479963,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
106,Law Enforcement-Suspicious Package,41945.73503,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
107,Law Enforcement-Suspicious Package,41944.35808,40.69484053,-73.984523,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
108,Law Enforcement-Device,41942.48987,40.75218756,-73.97755276,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
109,Fire-10-76 (Commercial High Rise Fire),41941.68155,40.7580828,-73.99191506,"8,622,698","8,329,402","3,635,789","2,094,132","35,124","1,252,589","2,517,429","60,879",Fir,NEW YORK CITY
110,Law Enforcement-Other,41940.86873,40.75625413,-73.99045406,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
111,Fire-1st Alarm,41940.71918,40.79113016,-73.94764084,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
112,Law Enforcement-Other,41935.5478,40.76804662,-73.98248906,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
113,Fire-2nd Alarm,41939.56675,40.76877581,-73.96634297,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
114,Law Enforcement-Suspicious Package,41936.22035,40.71962317,-74.01022806,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Law,MANHATTAN
