YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
FY 2015,NonStructural Fires,Staten Island,827,4:40
FY 2015,NonStructural Fires,Brooklyn,5698,3:59
FY 2015,NonStructural Fires,Queens,3915,4:45
FY 2015,Structural Fires,New York City,27189,4:11
FY 2015,Structural Fires,Manhattan,6153,4:20
FY 2015,Structural Fires,Bronx,5975,4:19
FY 2015,Structural Fires,Staten Island,1375,4:33
FY 2015,Structural Fires,Brooklyn,8341,3:42
FY 2015,Structural Fires,Queens,5345,4:32
FY 2014,All Fire/Emergency Incidents,New York City,503668,4:46
FY 2014,All Fire/Emergency Incidents,Manhattan,137908,4:58
FY 2014,All Fire/Emergency Incidents,Bronx,99362,5:01
FY 2014,All Fire/Emergency Incidents,Staten Island,25105,4:56
FY 2014,All Fire/Emergency Incidents,Brooklyn,142672,4:16
FY 2014,All Fire/Emergency Incidents,Queens,98621,4:55
FY 2014,False Alarm,New York City,19907,4:36
FY 2014,False Alarm,Manhattan,4495,4:55
FY 2014,False Alarm,Bronx,4747,4:46
FY 2014,False Alarm,Staten Island,1494,4:43
FY 2014,False Alarm,Brooklyn,4811,4:05
FY 2014,False Alarm,Queens,4360,4:40
FY 2014,Medical Emergencies,New York City,219981,4:21
FY 2014,Medical Emergencies,Manhattan,59694,4:31
FY 2014,Medical Emergencies,Bronx,41823,4:31
FY 2014,Medical Emergencies,Staten Island,10339,4:34
FY 2014,Medical Emergencies,Brooklyn,63950,3:58
FY 2014,Medical Emergencies,Queens,44175,4:31
FY 2014,Medical False Alarm,New York City,3371,4:20
FY 2014,Medical False Alarm,Manhattan,855,4:26
FY 2014,Medical False Alarm,Bronx,652,4:44
FY 2014,Medical False Alarm,Staten Island,142,4:35
FY 2014,Medical False Alarm,Brooklyn,1155,3:52
FY 2014,Medical False Alarm,Queens,567,4:39
FY 2014,NonMedical Emergencies,New York City,217640,5:12
FY 2014,NonMedical Emergencies,Manhattan,62547,5:22
FY 2014,NonMedical Emergencies,Bronx,43789,5:31
FY 2014,NonMedical Emergencies,Staten Island,11034,5:18
FY 2014,NonMedical Emergencies,Brooklyn,59610,4:40
FY 2014,NonMedical Emergencies,Queens,40660,5:23
FY 2014,NonStructural Fires,New York City,16867,4:24
FY 2014,NonStructural Fires,Manhattan,4494,4:33
FY 2014,NonStructural Fires,Bronx,2410,4:43
FY 2014,NonStructural Fires,Staten Island,761,4:48
FY 2014,NonStructural Fires,Brooklyn,5298,3:53
FY 2014,NonStructural Fires,Queens,3904,4:39
FY 2014,Structural Fires,New York City,25902,4:08
FY 2014,Structural Fires,Manhattan,5823,4:16
FY 2014,Structural Fires,Bronx,5941,4:16
FY 2014,Structural Fires,Staten Island,1335,4:32
FY 2014,Structural Fires,Brooklyn,7848,3:38
FY 2014,Structural Fires,Queens,4955,4:28
FY 2013,All Fire/Emergency Incidents,New York City,493377,4:46
FY 2013,All Fire/Emergency Incidents,Manhattan,128126,4:51
FY 2013,All Fire/Emergency Incidents,Bronx,95423,4:55
FY 2013,All Fire/Emergency Incidents,Staten Island,26830,4:59
FY 2013,All Fire/Emergency Incidents,Brooklyn,141076,4:20
FY 2013,All Fire/Emergency Incidents,Queens,101922,5:04
FY 2013,False Alarm,New York City,20708,4:38
FY 2013,False Alarm,Manhattan,4627,4:47
FY 2013,False Alarm,Bronx,5000,4:48
FY 2013,False Alarm,Staten Island,1678,4:51
FY 2013,False Alarm,Brooklyn,4650,4:09
FY 2013,False Alarm,Queens,4753,4:44
FY 2013,Medical Emergencies,New York City,215415,4:16
FY 2013,Medical Emergencies,Manhattan,58183,4:23
FY 2013,Medical Emergencies,Bronx,40375,4:23
FY 2013,Medical Emergencies,Staten Island,10551,4:32
FY 2013,Medical Emergencies,Brooklyn,62992,3:55
FY 2013,Medical Emergencies,Queens,43314,4:28
FY 2013,Medical False Alarm,New York City,3364,4:16
FY 2013,Medical False Alarm,Manhattan,912,4:27
FY 2013,Medical False Alarm,Bronx,719,4:29
FY 2013,Medical False Alarm,Staten Island,135,4:14
FY 2013,Medical False Alarm,Brooklyn,994,3:49
FY 2013,Medical False Alarm,Queens,604,4:32
FY 2013,NonMedical Emergencies,New York City,214467,5:16
FY 2013,NonMedical Emergencies,Manhattan,55000,5:17
FY 2013,NonMedical Emergencies,Bronx,41760,5:26
FY 2013,NonMedical Emergencies,Staten Island,12420,5:23
FY 2013,NonMedical Emergencies,Brooklyn,60185,4:49
FY 2013,NonMedical Emergencies,Queens,45102,5:39
FY 2013,NonStructural Fires,New York City,14145,4:28
FY 2013,NonStructural Fires,Manhattan,3545,4:28
FY 2013,NonStructural Fires,Bronx,2162,4:45
FY 2013,NonStructural Fires,Staten Island,744,4:55
FY 2013,NonStructural Fires,Brooklyn,4383,4:01
FY 2013,NonStructural Fires,Queens,3311,4:47
FY 2013,Structural Fires,New York City,25278,4:06
FY 2013,Structural Fires,Manhattan,5859,4:14
FY 2013,Structural Fires,Bronx,5407,4:10
FY 2013,Structural Fires,Staten Island,1302,4:33
FY 2013,Structural Fires,Brooklyn,7872,3:39
FY 2013,Structural Fires,Queens,4838,4:28
FY 2012,All Fire/Emergency Incidents,New York City,488256,4:35
FY 2012,All Fire/Emergency Incidents,Manhattan,128128,4:43
FY 2012,All Fire/Emergency Incidents,Bronx,96532,4:48
FY 2012,All Fire/Emergency Incidents,Staten Island,26982,4:45
FY 2012,All Fire/Emergency Incidents,Brooklyn,138262,4:09
FY 2012,All Fire/Emergency Incidents,Queens,98352,4:48
FY 2012,False Alarm,New York City,22567,4:32
FY 2012,False Alarm,Manhattan,4891,4:41
FY 2012,False Alarm,Bronx,5739,4:43
