YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
2016/03,False Alarm,Brooklyn,473,4:25
2016/03,False Alarm,Queens,454,4:48
2016/03,Medical Emergencies,New York City,22343,4:33
2016/03,Medical Emergencies,Manhattan,5957,4:51
2016/03,Medical Emergencies,Bronx,4404,4:58
2016/03,Medical Emergencies,Staten Island,1074,4:27
2016/03,Medical Emergencies,Brooklyn,6288,4:02
2016/03,Medical Emergencies,Queens,4620,4:37
2016/03,Medical False Alarm,New York City,250,4:48
2016/03,Medical False Alarm,Manhattan,50,4:48
2016/03,Medical False Alarm,Bronx,61,5:44
2016/03,Medical False Alarm,Staten Island,11,4:17
2016/03,Medical False Alarm,Brooklyn,84,4:13
2016/03,Medical False Alarm,Queens,44,4:48
2016/03,NonMedical Emergencies,New York City,18288,5:11
2016/03,NonMedical Emergencies,Manhattan,5132,5:27
2016/03,NonMedical Emergencies,Bronx,3932,5:21
2016/03,NonMedical Emergencies,Staten Island,804,5:05
2016/03,NonMedical Emergencies,Brooklyn,5163,4:40
2016/03,NonMedical Emergencies,Queens,3257,5:25
2016/03,NonStructural Fires,New York City,1351,4:24
2016/03,NonStructural Fires,Manhattan,352,4:36
2016/03,NonStructural Fires,Bronx,181,4:36
2016/03,NonStructural Fires,Staten Island,110,4:56
2016/03,NonStructural Fires,Brooklyn,429,3:54
2016/03,NonStructural Fires,Queens,279,4:36
2016/03,Structural Fires,New York City,2224,4:08
2016/03,Structural Fires,Manhattan,497,4:24
2016/03,Structural Fires,Bronx,464,4:12
2016/03,Structural Fires,Staten Island,132,4:25
2016/03,Structural Fires,Brooklyn,695,3:41
2016/03,Structural Fires,Queens,436,4:25
2016/02,All Fire/Emergency Incidents,New York City,48069,5:03
2016/02,All Fire/Emergency Incidents,Manhattan,12917,5:20
2016/02,All Fire/Emergency Incidents,Bronx,9611,5:19
2016/02,All Fire/Emergency Incidents,Staten Island,2370,5:01
2016/02,All Fire/Emergency Incidents,Brooklyn,13642,4:29
2016/02,All Fire/Emergency Incidents,Queens,9529,5:15
2016/02,False Alarm,New York City,1494,4:46
2016/02,False Alarm,Manhattan,323,5:10
2016/02,False Alarm,Bronx,267,4:52
2016/02,False Alarm,Staten Island,127,4:31
2016/02,False Alarm,Brooklyn,426,4:16
2016/02,False Alarm,Queens,351,4:58
2016/02,Medical Emergencies,New York City,20025,4:36
2016/02,Medical Emergencies,Manhattan,5192,4:53
2016/02,Medical Emergencies,Bronx,4070,4:58
2016/02,Medical Emergencies,Staten Island,947,4:30
2016/02,Medical Emergencies,Brooklyn,5813,4:07
2016/02,Medical Emergencies,Queens,4003,4:42
2016/02,Medical False Alarm,New York City,195,4:32
2016/02,Medical False Alarm,Manhattan,48,5:00
2016/02,Medical False Alarm,Bronx,32,4:50
2016/02,Medical False Alarm,Staten Island,11,3:58
2016/02,Medical False Alarm,Brooklyn,69,3:58
2016/02,Medical False Alarm,Queens,35,4:56
2016/02,NonMedical Emergencies,New York City,22853,5:28
2016/02,NonMedical Emergencies,Manhattan,6501,5:40
2016/02,NonMedical Emergencies,Bronx,4574,5:40
2016/02,NonMedical Emergencies,Staten Island,1131,5:28
2016/02,NonMedical Emergencies,Brooklyn,6228,4:54
2016/02,NonMedical Emergencies,Queens,4419,5:47
2016/02,NonStructural Fires,New York City,1227,4:26
2016/02,NonStructural Fires,Manhattan,311,4:46
2016/02,NonStructural Fires,Bronx,155,4:37
2016/02,NonStructural Fires,Staten Island,34,5:40
2016/02,NonStructural Fires,Brooklyn,429,3:57
2016/02,NonStructural Fires,Queens,298,4:36
2016/02,Structural Fires,New York City,2275,4:10
2016/02,Structural Fires,Manhattan,542,4:28
2016/02,Structural Fires,Bronx,513,4:21
2016/02,Structural Fires,Staten Island,120,4:26
2016/02,Structural Fires,Brooklyn,677,3:36
2016/02,Structural Fires,Queens,423,4:24
2016/01,All Fire/Emergency Incidents,New York City,49186,5:07
2016/01,All Fire/Emergency Incidents,Manhattan,12904,5:19
2016/01,All Fire/Emergency Incidents,Bronx,9863,5:24
2016/01,All Fire/Emergency Incidents,Staten Island,2411,5:04
2016/01,All Fire/Emergency Incidents,Brooklyn,13915,4:33
2016/01,All Fire/Emergency Incidents,Queens,10093,5:25
2016/01,False Alarm,New York City,1567,4:48
2016/01,False Alarm,Manhattan,330,5:10
2016/01,False Alarm,Bronx,349,4:50
2016/01,False Alarm,Staten Island,123,4:36
2016/01,False Alarm,Brooklyn,393,4:22
2016/01,False Alarm,Queens,372,4:58
2016/01,Medical Emergencies,New York City,21288,4:45
2016/01,Medical Emergencies,Manhattan,5524,5:00
2016/01,Medical Emergencies,Bronx,4270,5:07
2016/01,Medical Emergencies,Staten Island,1057,4:46
2016/01,Medical Emergencies,Brooklyn,5986,4:16
2016/01,Medical Emergencies,Queens,4451,4:49
2016/01,Medical False Alarm,New York City,239,4:50
2016/01,Medical False Alarm,Manhattan,52,5:25
2016/01,Medical False Alarm,Bronx,49,5:08
2016/01,Medical False Alarm,Staten Island,5,3:48
2016/01,Medical False Alarm,Brooklyn,75,3:58
2016/01,Medical False Alarm,Queens,58,5:21
2016/01,NonMedical Emergencies,New York City,22000,5:31
2016/01,NonMedical Emergencies,Manhattan,6004,5:35
2016/01,NonMedical Emergencies,Bronx,4471,5:48
2016/01,NonMedical Emergencies,Staten Island,1075,5:26
2016/01,NonMedical Emergencies,Brooklyn,6140,4:55
2016/01,NonMedical Emergencies,Queens,4310,6:01
2016/01,NonStructural Fires,New York City,1671,4:43
2016/01,NonStructural Fires,Manhattan,394,5:02
2016/01,NonStructural Fires,Bronx,193,4:48
2016/01,NonStructural Fires,Staten Island,35,4:51
2016/01,NonStructural Fires,Brooklyn,613,4:12
2016/01,NonStructural Fires,Queens,436,5:05
2016/01,Structural Fires,New York City,2421,4:15
2016/01,Structural Fires,Manhattan,600,4:25
2016/01,Structural Fires,Bronx,531,4:17
2016/01,Structural Fires,Staten Island,116,4:38
2016/01,Structural Fires,Brooklyn,708,3:41
2016/01,Structural Fires,Queens,466,4:47
2015/12,All Fire/Emergency Incidents,New York City,46619,4:48
2015/12,All Fire/Emergency Incidents,Manhattan,12729,5:12
2015/12,All Fire/Emergency Incidents,Bronx,9290,5:01
2015/12,All Fire/Emergency Incidents,Staten Island,2341,4:44
2015/12,All Fire/Emergency Incidents,Brooklyn,13046,4:15
2015/12,All Fire/Emergency Incidents,Queens,9213,4:56
2015/12,False Alarm,New York City,1607,4:37
2015/12,False Alarm,Manhattan,312,4:48
2015/12,False Alarm,Bronx,363,4:40
2015/12,False Alarm,Staten Island,157,4:42
2015/12,False Alarm,Brooklyn,384,4:04
2015/12,False Alarm,Queens,391,4:55
2015/12,Medical Emergencies,New York City,21989,4:32
2015/12,Medical Emergencies,Manhattan,6099,4:57
2015/12,Medical Emergencies,Bronx,4075,4:42
2015/12,Medical Emergencies,Staten Island,1080,4:32
2015/12,Medical Emergencies,Brooklyn,6277,4:05
2015/12,Medical Emergencies,Queens,4458,4:36
2015/12,Medical False Alarm,New York City,283,4:49
2015/12,Medical False Alarm,Manhattan,57,5:20
2015/12,Medical False Alarm,Bronx,59,5:08
2015/12,Medical False Alarm,Staten Island,5,4:59
2015/12,Medical False Alarm,Brooklyn,105,4:13
2015/12,Medical False Alarm,Queens,57,5:04
2015/12,NonMedical Emergencies,New York City,19265,5:08
2015/12,NonMedical Emergencies,Manhattan,5486,5:28
2015/12,NonMedical Emergencies,Bronx,4083,5:22
2015/12,NonMedical Emergencies,Staten Island,906,4:57
2015/12,NonMedical Emergencies,Brooklyn,5241,4:30
2015/12,NonMedical Emergencies,Queens,3549,5:19
2015/12,NonStructural Fires,New York City,859,4:26
2015/12,NonStructural Fires,Manhattan,205,4:38
2015/12,NonStructural Fires,Bronx,134,4:49
2015/12,NonStructural Fires,Staten Island,48,4:22
2015/12,NonStructural Fires,Brooklyn,250,3:59
2015/12,NonStructural Fires,Queens,222,4:33
2015/12,Structural Fires,New York City,2616,4:14
2015/12,Structural Fires,Manhattan,570,4:26
2015/12,Structural Fires,Bronx,576,4:17
2015/12,Structural Fires,Staten Island,145,4:42
2015/12,Structural Fires,Brooklyn,789,3:43
2015/12,Structural Fires,Queens,536,4:34
2015/11,All Fire/Emergency Incidents,New York City,45669,4:47
2015/11,All Fire/Emergency Incidents,Manhattan,12504,5:12
2015/11,All Fire/Emergency Incidents,Bronx,9084,4:59
2015/11,All Fire/Emergency Incidents,Staten Island,2250,4:45
2015/11,All Fire/Emergency Incidents,Brooklyn,12966,4:13
2015/11,All Fire/Emergency Incidents,Queens,8865,4:53
2015/11,False Alarm,New York City,1690,4:38
2015/11,False Alarm,Manhattan,338,4:57
2015/11,False Alarm,Bronx,361,4:50
2015/11,False Alarm,Staten Island,161,4:40
2015/11,False Alarm,Brooklyn,457,4:09
2015/11,False Alarm,Queens,373,4:45
2015/11,Medical Emergencies,New York City,21155,4:31
2015/11,Medical Emergencies,Manhattan,5821,4:58
2015/11,Medical Emergencies,Bronx,4020,4:44
2015/11,Medical Emergencies,Staten Island,955,4:36
2015/11,Medical Emergencies,Brooklyn,6157,4:01
2015/11,Medical Emergencies,Queens,4202,4:33
2015/11,Medical False Alarm,New York City,238,4:41
2015/11,Medical False Alarm,Manhattan,64,4:47
2015/11,Medical False Alarm,Bronx,43,5:13
2015/11,Medical False Alarm,Staten Island,5,4:45
2015/11,Medical False Alarm,Brooklyn,73,4:05
2015/11,Medical False Alarm,Queens,53,4:57
2015/11,NonMedical Emergencies,New York City,19037,5:06
2015/11,NonMedical Emergencies,Manhattan,5472,5:27
2015/11,NonMedical Emergencies,Bronx,3922,5:18
2015/11,NonMedical Emergencies,Staten Island,904,4:56
2015/11,NonMedical Emergencies,Brooklyn,5256,4:30
2015/11,NonMedical Emergencies,Queens,3483,5:17
2015/11,NonStructural Fires,New York City,1043,4:33
2015/11,NonStructural Fires,Manhattan,274,4:56
2015/11,NonStructural Fires,Bronx,168,4:54
2015/11,NonStructural Fires,Staten Island,79,4:53
2015/11,NonStructural Fires,Brooklyn,272,3:49
2015/11,NonStructural Fires,Queens,250,4:38
2015/11,Structural Fires,New York City,2506,4:11
2015/11,Structural Fires,Manhattan,535,4:31
2015/11,Structural Fires,Bronx,570,4:12
2015/11,Structural Fires,Staten Island,146,4:23
2015/11,Structural Fires,Brooklyn,751,3:39
2015/11,Structural Fires,Queens,504,4:32
2015/10,All Fire/Emergency Incidents,New York City,50735,4:52
2015/10,All Fire/Emergency Incidents,Manhattan,14134,5:16
2015/10,All Fire/Emergency Incidents,Bronx,9870,5:01
2015/10,All Fire/Emergency Incidents,Staten Island,2345,4:49
2015/10,All Fire/Emergency Incidents,Brooklyn,14575,4:19
2015/10,All Fire/Emergency Incidents,Queens,9811,5:03
2015/10,False Alarm,New York City,1758,4:44
2015/10,False Alarm,Manhattan,348,5:08
2015/10,False Alarm,Bronx,344,4:56
2015/10,False Alarm,Staten Island,170,4:39
2015/10,False Alarm,Brooklyn,546,4:19
2015/10,False Alarm,Queens,350,4:47
2015/10,Medical Emergencies,New York City,23012,4:34
2015/10,Medical Emergencies,Manhattan,6585,4:58
2015/10,Medical Emergencies,Bronx,4342,4:43
2015/10,Medical Emergencies,Staten Island,1013,4:32
2015/10,Medical Emergencies,Brooklyn,6533,4:07
2015/10,Medical Emergencies,Queens,4539,4:39
2015/10,Medical False Alarm,New York City,279,4:43
2015/10,Medical False Alarm,Manhattan,74,5:14
2015/10,Medical False Alarm,Bronx,52,4:49
2015/10,Medical False Alarm,Staten Island,9,4:10
2015/10,Medical False Alarm,Brooklyn,100,4:06
2015/10,Medical False Alarm,Queens,44,5:20
2015/10,NonMedical Emergencies,New York City,22205,5:11
2015/10,NonMedical Emergencies,Manhattan,6308,5:32
2015/10,NonMedical Emergencies,Bronx,4443,5:20
2015/10,NonMedical Emergencies,Staten Island,950,5:07
2015/10,NonMedical Emergencies,Brooklyn,6346,4:34
2015/10,NonMedical Emergencies,Queens,4158,5:29
2015/10,NonStructural Fires,New York City,1050,4:22
2015/10,NonStructural Fires,Manhattan,274,4:46
2015/10,NonStructural Fires,Bronx,154,4:38
2015/10,NonStructural Fires,Staten Island,80,4:18
2015/10,NonStructural Fires,Brooklyn,293,3:47
2015/10,NonStructural Fires,Queens,249,4:31
2015/10,Structural Fires,New York City,2431,4:15
2015/10,Structural Fires,Manhattan,545,4:32
2015/10,Structural Fires,Bronx,535,4:20
2015/10,Structural Fires,Staten Island,123,4:52
2015/10,Structural Fires,Brooklyn,757,3:42
2015/10,Structural Fires,Queens,471,4:32
2015/09,All Fire/Emergency Incidents,New York City,48331,4:48
2015/09,All Fire/Emergency Incidents,Manhattan,13604,5:08
2015/09,All Fire/Emergency Incidents,Bronx,9552,5:01
2015/09,All Fire/Emergency Incidents,Staten Island,2348,4:54
2015/09,All Fire/Emergency Incidents,Brooklyn,13646,4:14
2015/09,All Fire/Emergency Incidents,Queens,9181,4:58
2015/09,False Alarm,New York City,1873,4:39
2015/09,False Alarm,Manhattan,349,4:57
2015/09,False Alarm,Bronx,386,4:41
2015/09,False Alarm,Staten Island,158,4:39
2015/09,False Alarm,Brooklyn,575,4:21
2015/09,False Alarm,Queens,405,4:45
2015/09,Medical Emergencies,New York City,23372,4:29
2015/09,Medical Emergencies,Manhattan,6715,4:48
2015/09,Medical Emergencies,Bronx,4500,4:42
2015/09,Medical Emergencies,Staten Island,1049,4:34
2015/09,Medical Emergencies,Brooklyn,6730,4:01
2015/09,Medical Emergencies,Queens,4378,4:34
2015/09,Medical False Alarm,New York City,276,4:33
2015/09,Medical False Alarm,Manhattan,75,4:44
2015/09,Medical False Alarm,Bronx,59,4:58
2015/09,Medical False Alarm,Staten Island,3,6:38
2015/09,Medical False Alarm,Brooklyn,83,4:00
2015/09,Medical False Alarm,Queens,56,4:35
2015/09,NonMedical Emergencies,New York City,19452,5:11
2015/09,NonMedical Emergencies,Manhattan,5652,5:29
2015/09,NonMedical Emergencies,Bronx,3976,5:23
2015/09,NonMedical Emergencies,Staten Island,918,5:21
2015/09,NonMedical Emergencies,Brooklyn,5236,4:32
2015/09,NonMedical Emergencies,Queens,3670,5:24
2015/09,NonStructural Fires,New York City,1321,4:29
2015/09,NonStructural Fires,Manhattan,356,4:55
2015/09,NonStructural Fires,Bronx,222,4:47
2015/09,NonStructural Fires,Staten Island,86,4:43
2015/09,NonStructural Fires,Brooklyn,396,3:43
2015/09,NonStructural Fires,Queens,261,4:44
2015/09,Structural Fires,New York City,2037,4:08
2015/09,Structural Fires,Manhattan,457,4:13
2015/09,Structural Fires,Bronx,409,4:17
2015/09,Structural Fires,Staten Island,134,4:25
2015/09,Structural Fires,Brooklyn,626,3:39
2015/09,Structural Fires,Queens,411,4:34
2015/08,All Fire/Emergency Incidents,New York City,51033,4:46
2015/08,All Fire/Emergency Incidents,Manhattan,14519,5:04
2015/08,All Fire/Emergency Incidents,Bronx,10316,5:01
2015/08,All Fire/Emergency Incidents,Staten Island,2424,4:49
2015/08,All Fire/Emergency Incidents,Brooklyn,14037,4:13
2015/08,All Fire/Emergency Incidents,Queens,9737,4:54
2015/08,False Alarm,New York City,2120,4:37
2015/08,False Alarm,Manhattan,416,5:10
2015/08,False Alarm,Bronx,499,4:43
2015/08,False Alarm,Staten Island,165,4:35
2015/08,False Alarm,Brooklyn,602,4:08
2015/08,False Alarm,Queens,438,4:38
2015/08,Medical Emergencies,New York City,25311,4:27
2015/08,Medical Emergencies,Manhattan,7288,4:47
2015/08,Medical Emergencies,Bronx,4941,4:37
2015/08,Medical Emergencies,Staten Island,1074,4:40
2015/08,Medical Emergencies,Brooklyn,7228,3:57
2015/08,Medical Emergencies,Queens,4780,4:35
2015/08,Medical False Alarm,New York City,366,4:27
2015/08,Medical False Alarm,Manhattan,78,4:37
2015/08,Medical False Alarm,Bronx,77,4:56
2015/08,Medical False Alarm,Staten Island,20,4:43
2015/08,Medical False Alarm,Brooklyn,124,4:00
2015/08,Medical False Alarm,Queens,67,4:28
2015/08,NonMedical Emergencies,New York City,19929,5:11
2015/08,NonMedical Emergencies,Manhattan,5949,5:23
2015/08,NonMedical Emergencies,Bronx,4170,5:29
2015/08,NonMedical Emergencies,Staten Island,978,5:02
2015/08,NonMedical Emergencies,Brooklyn,5052,4:37
2015/08,NonMedical Emergencies,Queens,3780,5:19
2015/08,NonStructural Fires,New York City,1330,4:21
2015/08,NonStructural Fires,Manhattan,329,4:23
2015/08,NonStructural Fires,Bronx,212,4:47
2015/08,NonStructural Fires,Staten Island,81,4:35
2015/08,NonStructural Fires,Brooklyn,417,3:54
2015/08,NonStructural Fires,Queens,291,4:34
2015/08,Structural Fires,New York City,1977,4:06
2015/08,Structural Fires,Manhattan,459,4:14
2015/08,Structural Fires,Bronx,417,4:13
2015/08,Structural Fires,Staten Island,106,4:33
2015/08,Structural Fires,Brooklyn,614,3:34
2015/08,Structural Fires,Queens,381,4:33
2015/07,All Fire/Emergency Incidents,New York City,52758,4:49
2015/07,All Fire/Emergency Incidents,Manhattan,14865,5:06
2015/07,All Fire/Emergency Incidents,Bronx,10897,5:02
2015/07,All Fire/Emergency Incidents,Staten Island,2427,4:53
2015/07,All Fire/Emergency Incidents,Brooklyn,14433,4:19
2015/07,All Fire/Emergency Incidents,Queens,10136,4:55
2015/07,False Alarm,New York City,2121,4:40
2015/07,False Alarm,Manhattan,433,5:08
2015/07,False Alarm,Bronx,553,4:39
2015/07,False Alarm,Staten Island,153,4:33
2015/07,False Alarm,Brooklyn,554,4:17
2015/07,False Alarm,Queens,428,4:45
2015/07,Medical Emergencies,New York City,25724,4:28
2015/07,Medical Emergencies,Manhattan,7347,4:47
2015/07,Medical Emergencies,Bronx,5135,4:38
2015/07,Medical Emergencies,Staten Island,1089,4:40
2015/07,Medical Emergencies,Brooklyn,7130,4:00
2015/07,Medical Emergencies,Queens,5023,4:32
2015/07,Medical False Alarm,New York City,330,4:26
2015/07,Medical False Alarm,Manhattan,88,4:41
2015/07,Medical False Alarm,Bronx,63,4:37
2015/07,Medical False Alarm,Staten Island,10,4:31
2015/07,Medical False Alarm,Brooklyn,91,3:53
2015/07,Medical False Alarm,Queens,78,4:41
2015/07,NonMedical Emergencies,New York City,21296,5:13
2015/07,NonMedical Emergencies,Manhattan,6159,5:23
2015/07,NonMedical Emergencies,Bronx,4551,5:30
2015/07,NonMedical Emergencies,Staten Island,993,5:08
2015/07,NonMedical Emergencies,Brooklyn,5618,4:45
2015/07,NonMedical Emergencies,Queens,3975,5:21
2015/07,NonStructural Fires,New York City,1363,4:35
2015/07,NonStructural Fires,Manhattan,372,5:19
2015/07,NonStructural Fires,Bronx,228,4:47
2015/07,NonStructural Fires,Staten Island,79,5:04
2015/07,NonStructural Fires,Brooklyn,395,3:50
2015/07,NonStructural Fires,Queens,289,4:29
2015/07,Structural Fires,New York City,1924,4:09
2015/07,Structural Fires,Manhattan,466,4:19
2015/07,Structural Fires,Bronx,367,4:17
2015/07,Structural Fires,Staten Island,103,4:40
2015/07,Structural Fires,Brooklyn,645,3:41
2015/07,Structural Fires,Queens,343,4:31
2015/06,All Fire/Emergency Incidents,New York City,49227,4:48
2015/06,All Fire/Emergency Incidents,Manhattan,13715,5:04
2015/06,All Fire/Emergency Incidents,Bronx,9841,5:03
2015/06,All Fire/Emergency Incidents,Staten Island,2342,4:47
2015/06,All Fire/Emergency Incidents,Brooklyn,13771,4:19
2015/06,All Fire/Emergency Incidents,Queens,9558,4:55
2015/06,False Alarm,New York City,1909,4:40
2015/06,False Alarm,Manhattan,297,4:57
2015/06,False Alarm,Bronx,573,4:43
2015/06,False Alarm,Staten Island,153,4:39
2015/06,False Alarm,Brooklyn,527,4:23
2015/06,False Alarm,Queens,359,4:50
2015/06,Medical Emergencies,New York City,23922,4:25
2015/06,Medical Emergencies,Manhattan,6735,4:41
2015/06,Medical Emergencies,Bronx,4640,4:36
2015/06,Medical Emergencies,Staten Island,1044,4:33
2015/06,Medical Emergencies,Brooklyn,6872,3:58
2015/06,Medical Emergencies,Queens,4631,4:32
2015/06,Medical False Alarm,New York City,307,4:21
2015/06,Medical False Alarm,Manhattan,66,4:30
2015/06,Medical False Alarm,Bronx,63,5:02
2015/06,Medical False Alarm,Staten Island,15,4:10
2015/06,Medical False Alarm,Brooklyn,98,3:53
2015/06,Medical False Alarm,Queens,65,4:16
2015/06,NonMedical Emergencies,New York City,19915,5:14
2015/06,NonMedical Emergencies,Manhattan,5844,5:26
2015/06,NonMedical Emergencies,Bronx,4003,5:32
2015/06,NonMedical Emergencies,Staten Island,948,5:04
2015/06,NonMedical Emergencies,Brooklyn,5298,4:45
2015/06,NonMedical Emergencies,Queens,3822,5:21
2015/06,NonStructural Fires,New York City,1143,4:28
2015/06,NonStructural Fires,Manhattan,302,5:00
2015/06,NonStructural Fires,Bronx,149,4:31
2015/06,NonStructural Fires,Staten Island,78,4:28
2015/06,NonStructural Fires,Brooklyn,367,3:57
2015/06,NonStructural Fires,Queens,247,4:36
2015/06,Structural Fires,New York City,2031,4:14
2015/06,Structural Fires,Manhattan,471,4:18
2015/06,Structural Fires,Bronx,413,4:20
2015/06,Structural Fires,Staten Island,104,4:33
2015/06,Structural Fires,Brooklyn,609,3:45
2015/06,Structural Fires,Queens,434,4:40
2015/05,All Fire/Emergency Incidents,New York City,49825,4:47
2015/05,All Fire/Emergency Incidents,Manhattan,13610,5:01
2015/05,All Fire/Emergency Incidents,Bronx,9984,5:00
2015/05,All Fire/Emergency Incidents,Staten Island,2514,4:48
2015/05,All Fire/Emergency Incidents,Brooklyn,13971,4:16
2015/05,All Fire/Emergency Incidents,Queens,9746,4:58
2015/05,False Alarm,New York City,1952,4:47
2015/05,False Alarm,Manhattan,360,4:53
2015/05,False Alarm,Bronx,481,4:54
2015/05,False Alarm,Staten Island,151,4:48
2015/05,False Alarm,Brooklyn,527,4:27
2015/05,False Alarm,Queens,433,4:58
2015/05,Medical Emergencies,New York City,23841,4:25
2015/05,Medical Emergencies,Manhattan,6476,4:38
2015/05,Medical Emergencies,Bronx,4670,4:40
2015/05,Medical Emergencies,Staten Island,1137,4:26
2015/05,Medical Emergencies,Brooklyn,6927,3:59
2015/05,Medical Emergencies,Queens,4631,4:33
2015/05,Medical False Alarm,New York City,323,4:32
2015/05,Medical False Alarm,Manhattan,74,4:35
2015/05,Medical False Alarm,Bronx,71,5:08
2015/05,Medical False Alarm,Staten Island,6,3:44
2015/05,Medical False Alarm,Brooklyn,106,3:51
2015/05,Medical False Alarm,Queens,66,5:02
2015/05,NonMedical Emergencies,New York City,19586,5:12
2015/05,NonMedical Emergencies,Manhattan,5812,5:24
2015/05,NonMedical Emergencies,Bronx,3872,5:26
2015/05,NonMedical Emergencies,Staten Island,985,5:08
2015/05,NonMedical Emergencies,Brooklyn,5204,4:40
2015/05,NonMedical Emergencies,Queens,3713,5:25
2015/05,NonStructural Fires,New York City,1768,4:42
2015/05,NonStructural Fires,Manhattan,389,4:51
2015/05,NonStructural Fires,Bronx,341,4:58
2015/05,NonStructural Fires,Staten Island,111,5:20
2015/05,NonStructural Fires,Brooklyn,499,3:59
2015/05,NonStructural Fires,Queens,428,4:58
2015/05,Structural Fires,New York City,2355,4:09
2015/05,Structural Fires,Manhattan,499,4:13
2015/05,Structural Fires,Bronx,549,4:18
2015/05,Structural Fires,Staten Island,124,4:34
2015/05,Structural Fires,Brooklyn,708,3:38
2015/05,Structural Fires,Queens,475,4:36
2015/04,All Fire/Emergency Incidents,New York City,46952,4:46
2015/04,All Fire/Emergency Incidents,Manhattan,13218,5:03
2015/04,All Fire/Emergency Incidents,Bronx,9094,5:00
2015/04,All Fire/Emergency Incidents,Staten Island,2171,4:45
2015/04,All Fire/Emergency Incidents,Brooklyn,13202,4:13
2015/04,All Fire/Emergency Incidents,Queens,9267,4:57
2015/04,False Alarm,New York City,1724,4:36
2015/04,False Alarm,Manhattan,390,5:01
2015/04,False Alarm,Bronx,395,4:40
2015/04,False Alarm,Staten Island,105,4:22
2015/04,False Alarm,Brooklyn,419,4:05
2015/04,False Alarm,Queens,415,4:44
2015/04,Medical Emergencies,New York City,21066,4:28
2015/04,Medical Emergencies,Manhattan,6032,4:44
2015/04,Medical Emergencies,Bronx,4008,4:41
2015/04,Medical Emergencies,Staten Island,977,4:41
2015/04,Medical Emergencies,Brooklyn,5883,4:00
2015/04,Medical Emergencies,Queens,4166,4:32
2015/04,Medical False Alarm,New York City,238,4:29
2015/04,Medical False Alarm,Manhattan,58,4:30
2015/04,Medical False Alarm,Bronx,32,4:37
2015/04,Medical False Alarm,Staten Island,12,4:54
2015/04,Medical False Alarm,Brooklyn,70,4:03
2015/04,Medical False Alarm,Queens,66,4:46
2015/04,NonMedical Emergencies,New York City,19931,5:07
2015/04,NonMedical Emergencies,Manhattan,5900,5:20
2015/04,NonMedical Emergencies,Bronx,3904,5:24
2015/04,NonMedical Emergencies,Staten Island,849,4:54
2015/04,NonMedical Emergencies,Brooklyn,5467,4:31
2015/04,NonMedical Emergencies,Queens,3811,5:25
2015/04,NonStructural Fires,New York City,1555,4:25
2015/04,NonStructural Fires,Manhattan,350,4:43
2015/04,NonStructural Fires,Bronx,198,4:34
2015/04,NonStructural Fires,Staten Island,101,4:17
2015/04,NonStructural Fires,Brooklyn,575,3:50
2015/04,NonStructural Fires,Queens,331,4:49
2015/04,Structural Fires,New York City,2438,4:08
2015/04,Structural Fires,Manhattan,488,4:16
2015/04,Structural Fires,Bronx,557,4:19
2015/04,Structural Fires,Staten Island,127,4:42
2015/04,Structural Fires,Brooklyn,788,3:39
2015/04,Structural Fires,Queens,478,4:23
2015/03,All Fire/Emergency Incidents,New York City,47294,4:59
2015/03,All Fire/Emergency Incidents,Manhattan,12651,5:13
2015/03,All Fire/Emergency Incidents,Bronx,9250,5:12
2015/03,All Fire/Emergency Incidents,Staten Island,2351,5:02
2015/03,All Fire/Emergency Incidents,Brooklyn,13488,4:26
2015/03,All Fire/Emergency Incidents,Queens,9554,5:14
2015/03,False Alarm,New York City,1584,4:49
2015/03,False Alarm,Manhattan,330,5:17
2015/03,False Alarm,Bronx,340,4:44
2015/03,False Alarm,Staten Island,115,5:01
2015/03,False Alarm,Brooklyn,487,4:20
2015/03,False Alarm,Queens,312,5:04
2015/03,Medical Emergencies,New York City,19809,4:37
2015/03,Medical Emergencies,Manhattan,5100,4:48
2015/03,Medical Emergencies,Bronx,3951,4:55
2015/03,Medical Emergencies,Staten Island,980,4:47
2015/03,Medical Emergencies,Brooklyn,5638,4:09
2015/03,Medical Emergencies,Queens,4140,4:45
2015/03,Medical False Alarm,New York City,221,4:29
2015/03,Medical False Alarm,Manhattan,42,4:35
2015/03,Medical False Alarm,Bronx,30,4:40
2015/03,Medical False Alarm,Staten Island,17,4:18
2015/03,Medical False Alarm,Brooklyn,78,4:17
2015/03,Medical False Alarm,Queens,54,4:38
2015/03,NonMedical Emergencies,New York City,20908,5:23
2015/03,NonMedical Emergencies,Manhattan,6052,5:32
2015/03,NonMedical Emergencies,Bronx,4104,5:36
2015/03,NonMedical Emergencies,Staten Island,1076,5:17
2015/03,NonMedical Emergencies,Brooklyn,5588,4:49
2015/03,NonMedical Emergencies,Queens,4088,5:45
2015/03,NonStructural Fires,New York City,2354,4:32
2015/03,NonStructural Fires,Manhattan,575,4:54
2015/03,NonStructural Fires,Bronx,308,4:41
2015/03,NonStructural Fires,Staten Island,47,4:48
2015/03,NonStructural Fires,Brooklyn,900,4:05
2015/03,NonStructural Fires,Queens,524,4:48
2015/03,Structural Fires,New York City,2418,4:13
2015/03,Structural Fires,Manhattan,552,4:30
2015/03,Structural Fires,Bronx,517,4:19
2015/03,Structural Fires,Staten Island,116,4:30
